cgpa,internships,intern_quality,certifications,skill_level,projects_score,course,tier,placement_rate,avg_salary,placement_cell,job_demand,job_activity,region_density,macro,pipeline,placed_3m,placed_6m,placed_12m,salary,risk
6.67,0,0,0,1,1,10,1,29,11.9,0,1,1,0.6418168561449823,2,2,0,0,1,9.7,high
3.92,0,0,1,0,0,2,3,58,6.4,2,2,2,0.9758041875814335,2,1,0,1,1,8.049999999999999,low
7.55,2,3,1,1,2,3,3,70,2.7,0,1,2,0.7151928989830005,1,2,0,1,1,1.8,medium
7.96,2,0,0,0,0,3,3,97,2.8,3,1,1,0.5493081335430496,4,2,1,1,1,1.1,low
4.67,4,1,0,0,0,9,2,79,9.0,1,1,1,0.996509242216087,2,4,1,1,1,7.9,low
3.88,0,0,2,1,3,10,2,89,7.6,3,1,3,0.5568965937798708,1,0,1,1,1,3.5,medium
8.64,2,0,0,2,3,1,3,87,3.4,2,3,2,0.21555231804978653,2,1,1,1,1,5.1,low
4.89,1,0,4,1,0,3,3,27,2.3,1,1,2,0.10647175508658419,3,0,1,1,1,2.0,high
9.02,1,0,3,1,0,8,1,80,11.9,1,2,2,0.7561682645138655,3,4,1,1,1,16.1,low
3.76,0,0,0,1,3,7,1,94,9.4,2,1,3,0.8638261609728749,1,1,1,1,1,12.8,medium
3.83,1,2,3,1,1,12,3,52,2.6,3,2,2,0.15486181432886426,2,0,1,1,1,2.3,medium
7.64,0,0,4,0,1,1,3,78,6.1,2,3,2,0.9412356319627845,1,2,1,1,1,4.8,low
6.56,1,0,1,1,0,1,1,33,16.3,3,2,1,0.4943661157069389,2,0,0,1,1,22.6,low
4.0,0,0,2,0,2,1,3,51,6.6,2,2,2,0.32600912686290473,4,0,0,0,1,7.1,medium
6.16,0,0,0,2,3,2,3,72,5.2,1,1,2,0.13764597235197207,2,3,0,1,1,1.6500000000000001,medium
4.23,1,0,4,2,3,8,3,77,7.1,0,2,3,0.47054184989639836,3,2,1,1,1,9.2,low
6.51,0,0,0,0,0,3,3,33,3.3,3,1,1,0.5584651079752336,3,3,0,1,1,2.6,high
7.44,1,0,2,1,1,0,1,57,28.1,0,3,1,0.9330176489491744,2,2,1,1,1,32.3,low
3.51,3,1,2,0,2,5,3,49,4.2,1,2,2,0.9125249911593244,2,0,1,1,1,6.5,low
7.31,1,2,4,1,2,7,2,67,6.3,0,1,2,0.3021765993975595,1,0,0,1,1,5.2,medium
5.83,0,0,2,2,3,3,3,79,5.5,0,2,2,0.6016652146300557,4,0,0,0,0,6.5,high
6.11,1,3,1,2,2,7,3,58,4.9,2,2,2,0.5691698315451839,2,0,1,1,1,2.2,medium
5.47,0,0,1,1,0,3,2,74,9.0,3,2,3,0.11757876106395442,4,1,1,1,1,11.2,low
6.85,1,0,0,1,0,8,3,76,4.7,2,2,3,0.9826497797670308,2,3,1,1,1,4.2,low
5.55,0,0,1,1,2,4,2,35,10.3,1,3,1,0.9567277231437289,1,0,0,1,1,12.8,low
6.89,1,0,2,1,0,3,1,39,13.7,2,1,3,0.19728887469184592,1,0,0,1,1,10.6,high
6.05,0,0,3,1,1,10,2,93,3.2,1,1,1,0.6827889286511246,1,1,0,0,1,4.4,high
8.77,0,0,1,1,1,2,3,59,5.9,1,1,3,0.17799660825010696,4,0,1,1,1,6.2,medium
4.61,0,0,4,1,1,3,2,55,5.1,2,1,2,0.31629154251179403,2,2,0,1,1,5.8,medium
6.14,0,0,1,1,0,5,2,40,5.8,2,2,1,0.5822775688453748,3,0,0,0,0,3.5,high
6.01,0,0,2,0,0,1,3,62,3.3,2,1,2,0.7775129582121284,1,0,0,0,1,5.2,medium
5.85,0,0,0,0,1,1,3,56,4.5,0,2,2,0.8116667468590775,1,1,0,0,0,4.3,high
5.91,2,1,0,0,0,9,3,45,4.8,0,1,2,0.5229212311069172,1,0,1,1,1,5.5,medium
9.74,0,0,2,2,2,9,3,46,2.4,2,2,2,0.6122863443871831,2,0,0,0,1,1.7,medium
6.41,1,0,0,1,3,0,3,27,6.5,3,3,2,0.786798103754535,1,1,1,1,1,7.3,low
5.82,1,3,1,1,0,7,2,95,11.6,0,1,1,0.3909464076483953,4,1,1,1,1,12.0,low
6.75,0,0,0,0,0,5,3,87,5.5,0,3,3,0.7388045425902332,2,0,1,1,1,4.1,medium
6.61,1,0,3,2,0,2,2,74,8.4,0,3,2,0.8913936296318284,3,0,0,1,1,10.3,low
6.93,1,3,1,1,1,4,3,73,8.6,1,3,3,0.982697168199335,1,1,0,1,1,11.5,medium
7.75,0,0,0,2,1,10,3,81,2.3,0,1,1,0.22973987437025273,3,4,0,0,0,1.6,high
8.21,0,0,2,1,3,5,3,33,2.1,0,2,3,0.7720897300641343,2,0,0,0,0,1.3,medium
4.86,0,0,1,1,0,12,1,73,6.6,2,1,2,0.6248414175868476,1,2,0,0,0,7.0,medium
